gid,genus,species,x,y
774173,Quercus,salicifolia,-99.9,16.87111
774174,Quercus,salicifolia,-99.883,16.871
774175,Quercus,salicifolia,-102,23
774177,Quercus,ocoteifolia,-95.15,18.583334
774178,Quercus,salicifolia,-102,23
774179,Quercus,salicifolia,-98.2,20.218
774180,Quercus,salicifolia,-98.207,20.27
774181,Quercus,salicifolia,-98.21,20.23
774188,Quercus,muehlenbergii,-96.949,19.218
774189,Quercus,acutifolia,-103.683333333333,19.4333333333333
774190,Quercus,acutifolia,-97.362,17.727
774191,Quercus,acutifolia,-97.6366666666667,19.4083333333333
774192,Quercus,acutifolia,-103.7,19.45
774193,Quercus,acutifolia,-97.124777,16.678286
774194,Quercus,acutifolia,-94.01111,16.47861
774195,Quercus,acutifolia,-101.737,19.672
774196,Quercus,acutifolia,-104.822,20.381
774197,Quercus,acutifolia,-92.89,17.15
774198,Quercus,acutifolia,-97.69,17.39
774199,Quercus,acutifolia,-96.996035,16.463581
774200,Quercus,acutifolia,-99.675,17.558
774201,Quercus,acutifolia,-100.160555555556,25.2622222222222
774202,Quercus,acutifolia,-99.19417,23.1075
774203,Quercus,acutifolia,-92.4,16.4347222222222
774204,Quercus,acutifolia,-92.9436111111111,15.7227777777778
774205,Quercus,acutifolia,-98.858,19.563
774206,Quercus,acutifolia,-101.393083333333,18.21325
774207,Quercus,acutifolia,-100.203586111111,19.1980777777778
774208,Quercus,acutifolia,-96.946666666667,19.59
774210,Quercus,acutifolia,-104.263888888889,19.5875
774211,Quercus,acutifolia,-98.905,19.442
774212,Quercus,acutifolia,-92.9791666666667,16.0347222222222
774213,Quercus,acutifolia,-97.1570083333333,17.3312805555556
774214,Quercus,acutifolia,-100.853,19.675
774215,Quercus,acutifolia,-99.89,16.87
774216,Quercus,acutifolia,-98.675,19.1416666666667
774217,Quercus,acutifolia,-102.363333333333,19.3366666666667
774218,Quercus,acutifolia,-95.3391666666667,16.5763888888889
774219,Quercus,acutifolia,-99.6386111111111,17.8127777777778
774220,Quercus,acutifolia,-97.175,17.6916666666667
774221,Quercus,acutifolia,-97.875,21.275
774222,Quercus,acutifolia,-96.9516666666667,19.6255555555556
774223,Quercus,acutifolia,-98.8216666666667,19.4766666666667
774224,Quercus,acutifolia,-101.8,19.463
774225,Quercus,acutifolia,-97.125,19.4652777777778
774226,Quercus,acutifolia,-92.875,16.725
774227,Quercus,acutifolia,-92.8344444444444,16.8444444444444
774228,Quercus,acutifolia,-104.983333333333,21.4833333333333
774229,Quercus,acutifolia,-100.145736111111,19.1506
774230,Quercus,acutifolia,-99.222,19.715
774231,Quercus,acutifolia,-98.0898055555556,17.2746666666667
774232,Quercus,acutifolia,-104.268055555556,19.5491666666667
774233,Quercus,acutifolia,-94.0055555555556,16.475
774234,Quercus,acutifolia,-98.7366666666667,20.1233333333333
774235,Quercus,acutifolia,-103.697222222222,19.4347222222222
774236,Quercus,acutifolia,-91.7472222222222,16.0944444444444
774237,Quercus,acutifolia,-100.419,20.219
774238,Quercus,acutifolia,-104.983055555556,21.5047222222222
774239,Quercus,acutifolia,-99.4733333333333,21.2216666666667
774240,Quercus,acutifolia,-97.4961111111111,17.4052777777778
774241,Quercus,acutifolia,-99.7102777777778,18.4958333333333
774242,Quercus,acutifolia,-92.34,15.32
774243,Quercus,acutifolia,-99.392262,17.712598
774244,Quercus,acutifolia,-103.061388888889,19.5844444444444
774245,Quercus,acutifolia,-96.8166666666667,19.65
774246,Quercus,acutifolia,-93.0744444444444,15.8166666666667
774247,Quercus,acutifolia,-99.5686111111111,17.9336111111111
774248,Quercus,acutifolia,-96.1797222222222,16.3477777777778
774249,Quercus,acutifolia,-93.7541666666667,16.7583333333333
774250,Quercus,acutifolia,-96.9427777777778,19.5108333333333
774251,Quercus,acutifolia,-91.75,16.89
774252,Quercus,acutifolia,-101.8,19.4633333333333
774253,Quercus,acutifolia,-99.5644444444444,20.9152777777778
774254,Quercus,acutifolia,-98.898,19.475
774255,Quercus,acutifolia,-103.71861,19.44806
774256,Quercus,acutifolia,-92.525,16.5333333333333
774257,Quercus,acutifolia,-94.0888888888889,16.4583333333333
774258,Quercus,acutifolia,-92.9283333333333,17.1922222222222
774259,Quercus,acutifolia,-102.078333333333,19.3516666666667
774260,Quercus,acutifolia,-92.9805555555556,15.7
774261,Quercus,acutifolia,-94.0694444444444,16.4777777777778
774263,Quercus,acutifolia,-99.39,17.6894444444444
774264,Quercus,acutifolia,-100.827,19.858
774265,Quercus,acutifolia,-97.996,17.349
774266,Quercus,acutifolia,-98.09,17.275
774267,Quercus,acutifolia,-101.737,19.672
774268,Quercus,acutifolia,-97.039,17.166
774269,Quercus,acutifolia,-97.125,19.1583333333333
774270,Quercus,acutifolia,-93.6,16.21
774271,Quercus,acutifolia,-97.3416666666667,18.0583333333333
774272,Quercus,acutifolia,-97.37,18.23
774273,Quercus,acutifolia,-99.7661111111111,17.6255555555556
774275,Quercus,acutifolia,-99.4540972222222,17.5458583333333
774276,Quercus,acutifolia,-94.0333333333333,16.4611111111111
774277,Quercus,acutifolia,-98.59,20.6394444444444
774278,Quercus,acutifolia,-97.375,18.075
774279,Quercus,acutifolia,-96.925,19.3416666666667
774280,Quercus,acutifolia,-96.8583333333333,19.6916666666667
774281,Quercus,acutifolia,-104.98,21.48
774282,Quercus,acutifolia,-103.71861,19.44806
774283,Quercus,acutifolia,-93.0833333333333,18
774284,Quercus,acutifolia,-99.6386111111111,17.8127777777778
774285,Quercus,acutifolia,-93.5861111111111,16.1833333333333
774286,Quercus,acutifolia,-96.825,19.6583333333333
774287,Quercus,acutifolia,-99.39167,21.92028
774288,Quercus,acutifolia,-94.0083333333333,16.5083333333333
774289,Quercus,acutifolia,-104.226666666667,19.5877777777778
774290,Quercus,acutifolia,-99.19417,23.1075
774291,Quercus,acutifolia,-100.980277777778,19.6502777777778
774292,Quercus,acutifolia,-99.564,20.915
774293,Quercus,acutifolia,-101.409,18.19
774294,Quercus,acutifolia,-99.473,21.222
774295,Quercus,acutifolia,-97.0569444444444,20.0583333333333
774296,Quercus,acutifolia,-100.65,18.29
774297,Quercus,acutifolia,-97.36,18.06
774298,Quercus,acutifolia,-101.98,19.595
774300,Quercus,acutifolia,-99.64,17.55
774301,Quercus,acutifolia,-100.47,19.03
774302,Quercus,acutifolia,-96.952,19.626
774304,Quercus,acutifolia,-99.5583333333333,20.9083333333333
774305,Quercus,acutifolia,-97.5336111111111,17.6766666666667
774306,Quercus,acutifolia,-98.8583333333333,19.5633333333333
774307,Quercus,acutifolia,-92.0666666666667,16.15
774308,Quercus,acutifolia,-97.0180555555555,18.9383333333333
774309,Quercus,acutifolia,-104.608333333333,20.0583333333333
774310,Quercus,acutifolia,-92.8680555555556,17.1152777777778
774311,Quercus,acutifolia,-99.6916666666667,17.525
774312,Quercus,acutifolia,-96.17083,16.5795219
774313,Quercus,acutifolia,-101.377,18.187
774315,Quercus,acutifolia,-100.203586111111,19.1980777777778
774316,Quercus,acutifolia,-96.9516666666667,19.6341666666667
774317,Quercus,acutifolia,-102.908333333333,18.7916666666667
774318,Quercus,acutifolia,-101.536666666667,19.4
774319,Quercus,acutifolia,-96.833,19.35
774320,Quercus,acutifolia,-100.709722222222,18.1741666666667
774321,Quercus,acutifolia,-99.5825,17.3427777777778
774322,Quercus,acutifolia,-96.9488888888889,19.5094444444444
774323,Quercus,acutifolia,-99.9136111111111,17.6736111111111
774324,Quercus,acutifolia,-92.22,15.38
774325,Quercus,acutifolia,-96.9025,19.4994444444444
774326,Quercus,acutifolia,-96.9433333333333,19.5125
774327,Quercus,acutifolia,-99.6583333333333,17.6583333333333
774328,Quercus,acutifolia,-92.6077222222222,15.5490833333333
774331,Quercus,acutifolia,-98.7616666666667,19.5166666666667
774332,Quercus,acutifolia,-100.16,17.56
774333,Quercus,acutifolia,-99.0233333333333,19.1933333333333
774334,Quercus,acutifolia,-93.6125,16.1958333333333
774335,Quercus,acutifolia,-96.9166666666667,19.5
774336,Quercus,acutifolia,-101.8,19.463333333333
774337,Quercus,acutifolia,-97.6183333333333,18.1425
774338,Quercus,acutifolia,-103.685277777778,19.4333333333333
774339,Quercus,acutifolia,-100.392,19.843
774340,Quercus,acutifolia,-92.45,16.5305555555556
774341,Quercus,acutifolia,-102.078,19.352
774342,Quercus,acutifolia,-92.2666666666667,15.3319444444444
774343,Quercus,acutifolia,-99.4408333333333,17.5563888888889
774344,Quercus,acutifolia,-99.6611111111111,18.5563888888889
774345,Quercus,acutifolia,-96.9433333333333,19.5125
774346,Quercus,acutifolia,-100.826944444444,19.8583333333333
774347,Quercus,acutifolia,-96.4841666666667,17.3352777777778
774348,Quercus,acutifolia,-97.4416666666667,17.4583333333333
774349,Quercus,acutifolia,-100.828,19.7
