gid,placename,pop,x,y
30669,Ciudad Madero,197216,-97.8313888888889,22.2763888888889
30856,González,11212,-98.4305555555556,22.8280555555556
30908,Estación Manuel (Úrsulo Galván),12077,-98.3197222222222,22.7277777777778
31450,Ciudad Gustavo Díaz Ordaz,11523,-98.5969444444444,26.2322222222222
32155,Ciudad Mante,84787,-98.9722222222222,22.7425
32410,Heroica Matamoros,449815,-97.5041666666667,25.8797222222222
33288,Ciudad Miguel Alemán,19997,-99.0252777777778,26.4002777777778
33370,Nuevo Laredo,373725,-99.5080555555556,27.4863888888889
33785,Reynosa,589466,-98.2777777777778,26.0922222222222
46412,Los Mochis,256613,-108.996944444444,25.7936111111111
34203,Ciudad Río Bravo,95647,-98.0902777777778,25.9816666666667
34254,Nuevo Progreso,10178,-97.9522222222222,26.0561111111111
34832,San Fernando,29665,-98.1583333333333,24.8475
35161,Soto La Marina,10620,-98.2077777777778,23.7675
35641,Tampico,297284,-97.8686111111111,22.2552777777778
35648,Ciudad Tula,10043,-99.7083333333333,23.0027777777778
35774,Valle Hermoso,48918,-97.8144444444444,25.6736111111111
36005,Ciudad Victoria,305155,-99.1461111111111,23.7361111111111
46415,Ahome,11331,-109.172222222222,25.9188888888889
36645,Balancán,13030,-91.5363888888889,17.8052777777778
37025,Cárdenas,91558,-93.3763888888889,18.0011111111111
37197,Frontera,22795,-92.6469444444445,18.5336111111111
37401,Villahermosa,353577,-92.9280555555556,17.9891666666667
37509,Playas Del Rosario (Subteniente García),21893,-92.9316666666667,17.8522222222222
37534,Ocuiltzapotlán,18312,-92.8616666666667,18.1355555555556
37569,Parrilla Ii,10967,-92.9266666666667,17.8755555555556
37610,Comalcalco,41458,-93.2247222222222,18.2716666666667
37674,Tecolutilla,10637,-93.3311111111111,18.2819444444444
37728,Cunduacán,19824,-93.1755555555556,18.0672222222222
37843,Emiliano Zapata,20030,-91.7636111111111,17.7413888888889
37908,Huimanguillo,27344,-93.3913888888889,17.8302777777778
38309,Jalpa De Méndez,15695,-93.0625,18.1763888888889
38526,Macuspana,32225,-92.5975,17.76
38540,Benito Juárez (San Carlos),14451,-92.5283333333333,17.8327777777778
38816,Pomoca,10864,-92.9305555555556,18.0497222222222
38817,Paraíso,25186,-93.2127777777778,18.3961111111111
38954,Teapa,26548,-92.9533333333333,17.5488888888889
39009,Tenosique De Pino Suárez,32579,-91.4266666666667,17.4725
39153,Agua Prieta,77254,-109.548888888889,31.3258333333333
40179,Heroica Caborca,59922,-112.159166666667,30.7155555555556
40520,Ciudad Obregón,298625,-109.935,27.4891666666667
40617,Esperanza,38969,-109.928333333333,27.5813888888889
40652,Pueblo Yaqui,14234,-110.035555555556,27.3541666666667
41502,Heroica Ciudad De Cananea,31560,-110.300555555556,30.9819444444444
41873,Empalme,42516,-110.814166666667,27.9616666666667
42227,Heroica Guaymas,113082,-110.898888888889,27.9183333333333
42583,Hermosillo,715061,-110.954166666667,29.0988888888889
42665,Miguel Alemán (La Doce),30869,-111.4775,28.8402777777778
43597,Huatabampo,30475,-109.642222222222,26.8275
43896,Magdalena De Kino,26605,-110.9675,30.6269444444444
44110,Nacozari De García,11489,-109.685555555556,30.3741666666667
44130,Navojoa,113836,-109.445277777778,27.0808333333333
44430,Heroica Nogales,212533,-110.945833333333,31.3186111111111
44791,Puerto Peñasco,56756,-113.536944444444,31.3166666666667
45131,San Luis Río Colorado,158089,-114.7625,32.4766666666667
45591,Santa Ana,11864,-111.121388888889,30.5425
46129,Sonoita,12849,-112.854444444444,31.8613888888889
46205,Villa Juárez,13770,-109.841666666667,27.1288888888889
47683,Culiacán Rosales,675773,-107.398055555556,24.7919444444444
47745,Costa Rica,24874,-107.392222222222,24.59
47754,Eldorado,13197,-107.367222222222,24.3244444444444
49025,La Cruz,15657,-106.891944444444,23.9213888888889
49156,Escuinapa De Hidalgo,30790,-105.778055555556,22.8333333333333
49253,El Fuerte,12566,-108.617777777778,26.4163888888889
49643,Guasave,71196,-108.470277777778,25.5733333333333
49644,Adolfo Ruiz Cortines,12978,-108.719444444444,25.7044444444444
49696,Gabriel Leyva Solano (Benito Juárez),24914,-108.626666666667,25.6616666666667
49698,Juan José Ríos,23553,-108.821666666667,25.7572222222222
50186,Mazatlán,381583,-106.409722222222,23.2413888888889
50268,Villa Unión,13404,-106.215833333333,23.1883333333333
50827,El Rosario,16001,-105.861388888889,22.9919444444444
51058,Guamúchil,63743,-108.077777777778,25.4644444444444
51915,Navolato,29153,-107.703055555556,24.7655555555556
52085,Licenciado Benito Juárez (Campo Gobierno),24185,-107.545,24.6566666666667
52613,Cárdenas,15469,-99.6438888888889,21.9966666666667
52765,Cedral,11468,-100.726388888889,23.8194444444444
52834,Cerritos,14804,-100.278333333333,22.4275
52901,Ciudad Del Maíz,10391,-99.6083333333333,22.3988888888889
53003,Ciudad Fernández,32006,-100.010555555556,21.9411111111111
53316,Ciudad Valles,124644,-99.0186111111111,21.9869444444444
103472,Tultepec,64888,-99.1280555555555,19.685
53867,Charcas,12748,-101.113333333333,23.1297222222222
54044,Ébano,24296,-98.3780555555555,22.2119444444444
54364,Matehuala,77328,-100.644444444444,23.6463888888889
54846,Rioverde,53128,-99.9927777777778,21.9325
55103,Salinas De Hidalgo,16821,-101.708611111111,22.6288888888889
55338,San Luis Potosí,722772,-100.975,22.1497222222222
55878,Santa María Del Río,13099,-100.736111111111,21.7975
56357,Soledad De Graciano Sánchez,255015,-100.940833333333,22.1830555555556
56664,Tamazunchale,24562,-98.7913888888889,21.2627777777778
57148,Tamuín,16318,-98.775,22.0041666666667
57546,Tanquián De Escobedo,10127,-98.6619444444444,21.6002777777778
58174,Villa De Reyes,10383,-100.933333333333,21.8038888888889
58996,El Naranjo,10562,-99.3227777777778,22.5194444444444
59086,Cozumel,77236,-86.9416666666667,20.5166666666667
59208,Felipe Carrillo Puerto,25744,-88.0452777777778,19.5786111111111
59424,Isla Mujeres,12642,-86.7316666666667,21.2322222222222
59528,Chetumal,151243,-88.3052777777778,18.5036111111111
59532,Bacalar,11048,-88.3952777777778,18.6769444444444
60255,Cancún,628306,-86.8475,21.1605555555556
60256,Alfredo V. Bonfil,14900,-86.8513888888889,21.0825
60572,José María Morelos,11750,-88.7125,19.7461111111111
60761,Playa Del Carmen,149923,-87.0811111111111,20.6275
60909,Tulum,18233,-87.4658333333333,20.2119444444444
61533,Cadereyta De Montes,13347,-99.815,20.6947222222222
61906,El Pueblito,71254,-100.441388888889,20.5397222222222
61934,San José De Los Olvera,18406,-100.415,20.5527777777778
61964,Venceremos,15538,-100.398055555556,20.5508333333333
